Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,patient_information,,text,Record ID,,,,,,,,,,,,,
part_of_clinical_trial,patient_information,,yesno,Is this case reviewed as part of a clinical trial?,,,,,,,,,,,,, @HIDDEN
cohort_id,patient_information,,text,Cohort ID ,,Internal Reference ID,,,,,,y,,,,,
mrn,patient_information,,text,MRN,,"The patient's JH medical record number, including code system and unique value",,,,y,,y,,,,,
mrn_enterprise,patient_information,,text,MRN Enterprise,,,,,,y,,,,,,,
first_name,patient_information,,text,First Name,,The given name(s) of the patient,,,,y,,y,,,,,
last_name,patient_information,,text,Last Name,,The family name of the patient,,,,y,,y,,,,,
sex,patient_information,,dropdown,Sex,"0, Female | 1, Male",The gender the patient was given at birth,,,,,,,,,,,
gender,patient_information,,radio,Administrative Gender,"0, Female | 1, Male | 2, Other | 99, Unknown","A gender classification used for administrative purposes, not necessarily the same as a biological description or a sex identity.",,,,,,,,,,,
race,patient_information,,dropdown,Race,"0, American Indian/Alaska Native | 1, Asian | 2, Native Hawaiian or Other Pacific Islander | 3, Black or African American | 4, White | 5, More Than One Race | 6, Unknown / Not Reported",Text code for patient's race,,,,,,,,,,,
ethnicity,patient_information,,dropdown,Ethnicity,"0, Hispanic or Latino | 1, NOT Hispanic or Latino | 2, Unknown/Not Reported",Text code patient's ethnicity,,,,,,,,,,,
dob,patient_information,,text,Date of Birth,,"Date of birth in the form MMDDYYYY, hyphens will be autocompleted",date_mdy,,,y,,,,,,, @HIDEBUTTON
pt_address,patient_information,,text,Address Line,,The street name and number or P.O. box of the physical home address of the patient,,,,y,,,,,,, @HIDDEN
pt_address_city,patient_information,,text,Address City,,Name of city of the physical home address of the patient,,,,y,,,,,,, @HIDDEN
pt_address_state,patient_information,,text,Address State,,Name of state of the physical home address of the patient,,,,y,,,,,,, @HIDDEN
pt_address_zipcode,patient_information,,text,Address Zip Code,,The postal (zip) code of the physical home address of the patient,,,,y,,,,,,, @HIDDEN
pt_address_period,patient_information,,text,Address Period,,Time period address has been in use,,,,y,,,,,,, @HIDDEN
smoking_status,patient_information,,radio,What is the smoking status of the patient?,"0, Current Smoker | 1, Former Smoker | 2, Never Smoker | 98, Smoker, Current Status Unknown | 99, Unknown if Ever Smoked",Text code for patient's smoking status,,,,,,,,,,, @HIDDEN
pack_years,patient_information,,text,Pack-years,,Number with one decimal place for pack-yearss,number_1dp,,,,[smoking_status] = '0' or [smoking_status] = '1' or [smoking_status] = '98',,,,,, @HIDDEN
other_exposures,patient_information,,checkbox,Other Exposures,"1, Aflatoxins | 2, Aristolochic Acids | 3, Arsenic | 4, Asbestos | 5, Benzene | 6, Benzidine | 7, Beryllium | 8, 3-Butadiene | 9, Cadmium | 10, Coal Tar and Coal-Tar Pitch | 11, Coke-Oven Emissions | 12, Crystalline Silica (respirable size) | 13, Erionite | 14, Ethylene Oxide | 15, Formaldehyde | 16, Hexavalent Chromium Compounds | 17, Indoor Emissions from the Household Combustion of Coal | 18, Mineral Oils: Untreated and Mildly Treated | 19, Nickel Compounds | 20, Radon | 21, Secondhand Tobacco Smoke (Environmental Tobacco Smoke) | 22, Soot | 23, Strong Inorganic Acid Mists Containing Sulfuric Acid | 24, Thorium | 25, Trichloroethylene | 26, Vinyl Chloride | 27, Wood Dust",Check one or more other exposures,,,,,,,,,,, @HIDDEN
germline,patient_information,,radio,Germline testing performed?,"1, Yes | 2, No | 3, Unknown",,,,,,,,,,,, @HIDDEN
tissue,patient_information,,radio,Tissue NGS performed?,"1, Yes | 2, No | 3, Unknown",,,,,,,,,,,, @HIDDEN
liquid_biopsy,patient_information,,radio,Liquid biopsy performed?,"1, Yes | 2, No | 3, Unknown",,,,,,,,,,,, @HIDDEN
